,0,1,2,3,4,5,6,7,8,9,10,11
0,1.7556621,-1.2498132,-2.4178703,-3.2344887,-3.8270001,-1.3046982,-3.5210698,-1.4693773,-4.8473563,-0.4167695,-1.5737729,0.1237733
1,2.0544882,-1.1488688,-4.363985,-4.172146,-3.1308951,-1.472287,-3.9273274,-1.2244377,-5.0925236,0.06524709,-1.1357906,0.5532084
2,2.1499374,-1.1980495,-3.632638,-3.5712078,-3.405391,-2.413389,-3.961475,-1.4297637,-5.1660504,-0.085589446,-1.3963172,0.5432996
3,1.244772,-1.4817454,-3.3731616,-3.130335,-3.6045659,-0.89501715,-4.3120875,-0.7422523,-2.0200963,-0.13418975,-0.90566516,0.43777332
4,1.1018881,-1.8968,-1.694114,-3.1961498,-3.7648854,-1.9247849,-4.7705793,-2.173525,-4.2556467,-0.622909,-1.1118987,-0.2733899
5,2.7431135,-1.1278404,-4.424993,-3.5224552,-3.191732,-1.7862786,-3.3255367,-0.5862889,-4.8738894,0.42089063,-0.9662797,0.96020913
6,2.7503855,-1.0298702,-4.3843546,-3.6342587,-3.8975456,-1.6437011,-3.564405,-0.79029804,-4.6515975,0.39227763,-0.9151548,1.1152502
7,2.072987,-1.0739094,-3.9926517,-3.9607453,-3.2188256,-1.7134658,-3.7253714,-1.3573093,-5.298771,-0.019233264,-1.2808905,0.5654197
8,-2.1311955,6.0375166,-0.32318163,-3.6014128,-3.495722,-2.0278623,-2.1491044,-3.201235,-5.1251645,-3.3139558,-4.2624993,-3.0444005
9,-2.0116024,5.8625116,-0.93934643,-3.6072116,-3.2275972,-1.7804878,-1.8945684,-3.1496294,-5.3774123,-3.0833743,-4.006995,-2.8446274
10,-2.069406,5.8556275,-0.41681632,-3.536258,-3.3107336,-2.1304038,-2.0884435,-3.2517154,-5.205079,-3.2080643,-4.086656,-2.9220405
11,-2.116187,5.6843977,-0.8033406,-3.4741719,-3.27234,-1.7391591,-1.7472233,-3.1944582,-5.4144845,-3.198492,-4.188783,-3.004078
12,-2.1419866,5.2083597,-0.35980436,-2.855545,-3.03883,-2.2220716,-1.7246944,-3.1170495,-5.149422,-3.1934226,-4.2067947,-3.0399525
13,-2.0342226,5.450612,-0.44485962,-3.226943,-3.0234194,-2.4719558,-1.9372956,-3.2603943,-5.421759,-3.142248,-4.0307226,-2.9202604
14,-2.0716968,5.7389045,-0.55250984,-3.596745,-3.319551,-2.0507255,-2.0453126,-3.377138,-5.544015,-3.22247,-4.1484013,-2.9700818
15,-2.0178616,4.755695,-0.21108295,-2.9323487,-2.9685926,-2.0197499,-1.4071902,-3.2156975,-5.3683267,-3.1212194,-4.1291885,-2.939245
16,-2.178777,4.8872557,-0.13697809,-3.1200135,-2.930886,-2.2394993,-1.9140598,-3.4633121,-5.4376135,-3.2214277,-4.164576,-3.0732799
17,-2.289353,5.074965,-0.2698583,-3.5198655,-2.3368092,-1.9837224,-2.1667347,-3.3996377,-4.9695277,-3.1111658,-3.9433162,-3.1193864
18,-2.0771778,6.134656,-0.53317845,-3.621862,-3.6045713,-2.0420964,-2.0815074,-3.1984582,-5.341927,-3.294511,-4.2500854,-3.0134623
19,-1.9713103,5.854831,-0.4508424,-3.718354,-3.2920656,-2.0734842,-2.216867,-3.2082002,-5.192984,-3.1454556,-4.0027637,-2.8318257
20,-2.071537,5.8885684,-0.5539634,-3.700822,-3.104303,-2.0131345,-2.169824,-3.2127943,-5.127265,-3.124489,-3.9218802,-2.9052646
21,-2.285854,5.442547,-0.062169958,-3.0578032,-3.1527386,-2.1451454,-2.1054337,-3.217738,-4.746195,-3.2369525,-3.9955401,-3.057913
22,-2.6466599,-0.6821722,-0.12981634,-0.090949416,0.597466,-2.3508372,-2.1825113,-2.737751,-3.1569073,-2.0667453,-2.0337822,-3.0426946
23,-2.1698096,5.000662,-0.3394746,-2.5858638,-3.3473208,-2.1238134,-1.420805,-2.9856515,-5.151842,-3.2645438,-4.2977657,-3.043707
24,-2.0178251,5.857636,-0.57461005,-3.7903817,-3.0274565,-2.2389953,-2.3012197,-3.3007185,-5.3147926,-3.1094992,-3.8988702,-2.8616364
25,-2.3282797,5.964711,-0.0913384,-3.4144876,-3.3181114,-2.2463832,-2.3275743,-3.33002,-4.9071903,-3.3566394,-4.1385865,-3.1593776
