,0,1,2,3,4,5,6,7,8,9,10,11,12
0,1.5031924,-0.3878346,-0.54413986,-3.5085547,-0.48966122,-1.8319625,-1.2669657,-2.0810068,-2.6198387,-1.2763455,-2.2458355,-2.255047,-0.8637262
1,1.9059108,-0.10649768,0.04016505,-4.0058036,-1.9507812,-2.5549233,-0.7602604,-2.645387,-2.943541,-0.97830224,-1.4723625,-1.9141312,-0.38782457
2,2.208809,-0.1380706,-0.15084912,-3.97188,-1.5813683,-2.274948,-0.800165,-3.6824572,-3.1388464,-0.994242,-1.225618,-2.2213855,-0.48064902
3,1.0968417,-0.057529334,0.015722869,-3.5770562,-1.606938,-2.5306537,-1.1873336,-2.1307383,-2.4312522,-0.6508667,-0.0058885324,-1.4570694,-0.5102323
4,1.8986369,-0.52584743,-0.5042277,-3.9561758,-0.7240436,-2.6490786,-1.0963756,-2.8783457,-3.2544305,-1.2022942,-1.6489918,-1.6887953,-0.80944633
5,2.2395303,0.04813678,0.12494391,-3.954307,-1.716763,-2.1643577,-0.66453207,-3.101632,-2.7094934,-0.7493378,-1.4272354,-1.9809602,-0.27324837
6,2.240029,0.015969034,-0.074023865,-3.7986045,-1.5639887,-2.021446,-1.0217699,-3.3316677,-2.76457,-0.80156285,-1.1021538,-1.9376494,-0.39837915
7,1.8486255,-0.19880755,-0.10984679,-3.9352894,-1.5763329,-2.4215147,-0.8588705,-2.7242935,-2.9283452,-1.118203,-1.6968379,-2.0080638,-0.52406347
8,0.7628488,1.6348033,0.9221252,-3.811097,-1.8491715,-1.9979756,-1.635444,-1.448458,-0.6565408,-0.06488864,-1.2282921,-0.77997786,-0.18434855
9,1.219719,1.6367592,0.8777137,-4.197236,-1.7920016,-2.2176034,-1.7147467,-2.1782284,-1.0368773,0.092156194,-1.2636406,-0.95913434,-0.17369436
10,-0.14917327,0.58877236,-0.12368858,-2.5637803,-1.0919887,-0.97910684,-1.6005281,-1.4554585,-0.44436234,-1.1598697,-2.3637152,-1.2559166,-0.8229391
11,0.7529109,1.9206231,0.8897109,-3.463444,-1.3022785,-1.559528,-2.080687,-2.2770658,-0.3312701,0.33852172,-0.30750015,-0.79112035,-0.24087225
12,0.7805027,1.5122901,0.80347097,-4.0966578,-2.061433,-2.2042933,-1.066993,-1.3664572,-0.75546414,0.029377209,-1.0971998,-0.5355234,-0.11108634
13,-0.36336115,0.0060336646,2.3137152,-4.0772614,-3.2019055,-3.25895,-1.0199641,-0.36257508,-2.9094763,-1.822114,-2.2906656,1.0707133,0.06112358
14,0.02885968,0.5259303,3.0328827,-3.7543967,-3.567437,-3.1634123,-0.71949244,-1.019425,-2.0975277,-1.3261371,-1.6925044,-0.050147798,0.51726854
15,-0.16074088,0.22533529,2.4387393,-3.777411,-3.5511746,-3.1226535,-0.45280257,-0.1358451,-2.2530873,-1.454443,-1.9912709,0.008277198,0.3930705
16,-0.20853637,-0.44619042,1.4526122,-4.3518934,-2.4277651,-3.3937733,-0.12898901,-1.7299329,-3.2634232,-2.031335,-1.9412322,-0.27186483,-0.2645367
17,-0.0006301988,0.51480234,2.9374177,-3.7749934,-3.3098254,-3.1330621,-0.8836037,-1.5271128,-2.4305012,-1.2279204,-1.1551707,0.2637214,0.41023305
18,-0.0073796185,0.45274222,3.0430849,-3.7475593,-3.3408644,-3.0228765,-0.7344397,-1.4619143,-2.3851106,-1.5201579,-1.7119954,-0.017051646,0.4103526
19,0.057025116,0.27312794,2.7808273,-3.9891696,-3.3736346,-3.0549717,-0.9786682,-1.4133543,-2.9265842,-1.7343003,-1.9860985,0.08988129,0.27714425
20,0.1667894,-0.03789585,2.4521914,-4.1980877,-3.1006312,-3.1063714,-0.9040225,-1.7360821,-3.271994,-2.3394935,-2.811498,-0.7946271,-0.034238737
21,-0.17553905,0.17044605,2.6546023,-3.8853772,-3.2199876,-3.2255936,-1.0395701,-1.1038748,-2.9886289,-1.7698925,-1.9360216,0.6298848,0.16367437
22,0.10031786,0.4906257,3.0953069,-3.9483378,-3.5923269,-3.2574458,-0.43390846,-1.367866,-2.2937696,-1.3653272,-1.6824352,-0.10144891,0.53841424
23,-3.5247364,-3.2175663,-3.1477814,6.3467264,1.3666706,-0.71747434,-1.7535735,-0.7483821,-2.7821522,-4.1085143,-3.74408,-1.187614,-2.662975
24,-3.575542,-3.298221,-3.2576027,6.487314,1.5207446,-0.44775972,-1.9004653,-0.7859787,-2.795481,-4.277735,-3.8751044,-1.3392539,-2.7665102
25,-3.2450092,-2.8285012,-2.7484393,5.772113,0.67815506,-0.2096452,-1.9249396,-0.9919804,-2.3355138,-3.974716,-3.7230642,-1.2688116,-2.4587858
26,-3.8593252,-3.5453694,-3.4305525,7.3168025,1.5652006,-0.31272802,-2.0672753,-0.84759456,-2.8943303,-4.655236,-4.218152,-1.5709345,-2.909278
27,-3.5881321,-3.2773666,-3.1548145,6.3599787,1.0768439,-0.18805605,-1.8083452,-0.82015675,-2.5275464,-4.285098,-3.8493447,-1.3932985,-2.6990604
28,-3.605256,-3.2546391,-3.0570362,6.6209507,1.0750216,-0.5750837,-1.7879161,-0.84535,-2.8559575,-4.301078,-3.984058,-1.2198964,-2.624363
29,-3.2677836,-2.449653,-2.629204,5.003027,0.5529325,-0.07346591,-2.1738086,-0.8626457,-0.9857108,-3.6226647,-3.60684,-1.459117,-2.400485
30,-3.4430504,-2.9510653,-2.753205,6.223094,0.6951966,-0.5332909,-1.7284112,-0.8699907,-2.5650077,-4.0442967,-3.7563515,-1.1996125,-2.4569895
31,-3.3055482,-2.9944618,-2.7872198,4.968141,1.0739613,-1.2798697,-1.2539331,-0.5592831,-2.9715796,-3.9169493,-3.6112988,-1.1101766,-2.4554965
32,-3.4625478,-3.0943813,-3.1483934,5.9184856,1.597677,-0.5154289,-1.9322393,-0.8349107,-2.3890755,-4.0370154,-3.647544,-1.4469638,-2.698112
33,-3.67742,-3.235546,-3.160042,6.9590273,1.2645919,-0.48060846,-1.9917958,-0.9370574,-2.7535603,-4.371101,-4.038664,-1.393473,-2.7348835
34,-3.668927,-3.3128755,-3.199692,6.9255977,1.3645065,-0.42753798,-1.9562708,-0.7839493,-2.8321526,-4.406664,-4.1138954,-1.4094523,-2.7319412
35,-3.3847344,-2.6078076,-2.816526,5.5151186,0.7342498,0.5182445,-2.4295664,-1.0131795,-1.2826256,-3.8568132,-3.6693883,-1.704614,-2.5841417
36,-3.4132187,-2.9002614,-3.1741772,4.5197806,1.4854605,1.7010428,-2.4530065,-0.95196354,-1.7436621,-4.1360636,-4.0720673,-1.681388,-2.6913576
37,-3.5885034,-3.321823,-3.2471025,6.5256195,1.4355439,-0.5312555,-1.8475733,-0.962352,-2.8612833,-4.2854238,-3.7984397,-1.4632704,-2.7513418
38,-3.1676533,-2.6657538,-2.7420154,4.9087353,0.7308242,0.012748771,-2.0009894,-0.9857993,-1.7550983,-3.7604158,-3.6732407,-1.2893033,-2.425141
39,-3.626469,-3.311593,-3.2385855,6.9320254,1.3906906,-0.61740017,-1.9043554,-0.9324196,-2.9201286,-4.356219,-4.0818734,-1.2583442,-2.7525837
40,-3.5554538,-3.2479799,-3.2733507,6.2987924,1.5971588,-0.5042709,-2.1902704,-0.80459636,-2.7396882,-4.221702,-3.8117497,-1.4333977,-2.8011875
41,-3.5838187,-4.1802616,-4.5650325,1.2732612,4.1783047,-0.19410838,-1.5056553,-0.82047987,-3.1900697,-5.1464005,-5.018328,-3.544741,-3.7297537
