,0,1,2,3,4,5,6,7,8,9,10,11
0,-2.7242641,3.0631857,14.134682,6.0888863,1.3901885,2.505318,1.7960536,-6.8092,-9.317516,-8.866796,-6.2201815,-6.5602307
1,-2.9328356,2.1509569,-0.4267695,-2.767946,13.140747,-0.49526376,-4.3331776,-3.949352,-5.1439977,0.73609245,-1.7598782,-3.5968409
2,-2.8712049,3.5598183,6.7450576,12.821135,-1.8075593,-1.6675332,5.4914417,-6.12403,-9.09761,-6.8228297,-5.021598,-5.482486
3,-2.770021,-2.6911793,-2.2579148,-5.448069,3.0482273,1.0570781,-8.4326,-2.8365989,-4.100539,7.7120304,7.1442113,-3.3945382
4,-2.7526908,3.255718,7.4218936,12.2783985,-1.6638049,-1.5376475,5.2091465,-6.2285748,-9.132849,-6.867751,-5.070038,-5.5982227
5,-3.7793694,5.5220804,21.800598,9.006975,2.4072702,3.3110735,1.9518539,-10.604841,-14.702866,-13.631409,-9.41907,-10.198658
6,-2.200814,1.7194155,10.04561,2.2534003,2.3935995,3.3894114,-0.7442625,-4.0360203,-4.622783,-5.635003,-3.930482,-4.466798
7,-2.2988765,3.5225997,17.425129,7.1810684,0.8730205,2.654441,1.3723726,-8.22154,-11.295932,-10.898191,-7.323046,-7.754512
8,-2.6385593,2.3482375,12.67962,3.4845223,2.4880462,4.519151,-0.6186373,-5.085547,-6.552126,-7.2405624,-5.0388136,-5.627427
9,-2.845797,2.0586162,-0.3049662,-1.997992,11.893982,-0.95360345,-3.4255188,-3.8053985,-4.6630306,0.4447012,-1.5620499,-3.6793494
10,-3.8617692,3.2319374,-0.5720091,-2.504252,16.188343,-1.3006562,-4.471242,-5.239484,-6.4184804,0.531604,-2.2971182,-4.9428034
11,-3.2047234,2.1391375,14.602023,4.1588526,2.7491972,5.491191,-0.50134987,-5.677002,-7.207426,-8.557997,-5.8646708,-6.5250707
12,-2.8900228,2.012124,9.712376,3.1743681,2.14424,2.5168343,0.9374274,-4.063556,-4.199374,-5.6196723,-4.342162,-4.569234
13,-1.3905044,1.4936625,3.1797142,6.6753483,-1.0604181,-0.6979537,2.784067,-2.934954,-4.4865065,-3.4316623,-2.4772797,-2.6272027
14,-0.13707852,5.9653053,21.349995,8.674094,-1.5823609,-2.1404202,1.88833,-12.152606,-16.205372,-14.49279,-8.095336,-9.8151455
15,-2.568824,2.4258657,-0.51722217,-1.9537358,12.606514,-1.5454122,-3.3100128,-4.438175,-5.2936687,-0.17334443,-1.7419758,-3.873551
16,-0.12566781,3.644632,9.874269,3.853037,-0.34039924,-1.1858919,1.2276568,-5.834545,-7.8097773,-6.767762,-4.0054293,-4.51839
17,-2.3013303,-2.780778,-1.0373889,-4.064447,0.32908893,1.2101474,-6.6948047,-3.1122673,-4.0652356,3.4823534,9.587043,-3.2591467
18,-3.2032394,2.8079462,-0.5082079,-2.0036955,13.781312,-1.3539083,-3.27891,-4.659012,-5.4702864,0.09236616,-1.9930139,-4.2850947
