,CC_1,CC_2,CC_3,CC_4,CC_5,CC_6,CC_7,CC_8,CC_9,CC_10,CC_11,CC_12,CC_13,CC_14,CC_15,CC_16,CC_17,CC_18,CC_19,CC_20,CC_21,CC_22,CC_23,CC_24,CC_25,CC_26,CC_27,CC_28,CC_29,CC_30
1_reference,0.0131660737653708,0.0314003743530949,0.0298800370139484,0.0089882356590157,0.0254900426053438,0.00348893629359806,0.0213304006861635,0.0145959613184482,0.00643914368011295,0.012460725661767,0.0408191172246412,0.00840201883702589,0.0590033536455404,0.0148098777558092,0.00555354786117243,0.035635036867909,0.00183223069003893,0.0549097838618506,0.0027350358970967,0.0211640222398012,0.0334277885529019,0.0176780016412841,0.0252406146840661,0.0442311093595347,0.00151844639665354,0.0219881712678451,0.000236483705267852,0.00814153348832694,0.01066653849352,0.0268168698504615
2_reference,-0.054101049275628,0.026835432576167,0.0272927812083284,0.0246050800330415,0.0172127937944877,0.0582468361953341,-0.0287106375881414,0.0278276542903543,0.0138324912785285,-0.0744999071025783,-0.00698328708338074,-0.00608509430674094,0.0177314578646232,-0.0126907026354162,-0.0250627488469703,-0.00569264321274826,-0.0378304239692026,-0.0151640550002636,0.0389873173692577,-0.034212945181068,-0.0267178228708798,-0.016971641507423,-0.0221693550857049,-0.0133546496741311,0.0172159870141206,-0.00149945947571796,0.00792732983216762,-0.0346522390659612,0.00295726069743052,0.00141781499188591
3_reference,0.0256996163341121,-0.00333905509878843,-0.0434925933651274,-0.0384256767846631,-0.00440615385474423,0.0104853031522377,-0.0025459106314154,0.0350324775563992,-0.0650060028690725,-0.00620757417628471,0.00553430242746818,0.0337886427871391,0.0355844806236939,-0.0207962835385876,0.0462044681619908,-0.011793888569428,-0.00964939849189037,0.0117921318841415,-0.0083323728890242,0.0318433229000306,0.00959141034634363,-0.025960880764446,0.00114935276039948,0.01960913572008,-0.0381098975102794,0.0350009279151282,-0.0273110858678368,0.025082773894465,-0.0138221958578131,-0.0173318234422704
4_reference,-0.0265725683457929,-0.00864702538693886,0.00221543783535414,0.0236354949794064,0.0142686257398084,0.0607265584713234,0.0216088408453513,0.00194882344059028,0.00666737465562145,-0.0339302396460175,-0.0363835758588939,0.0387605692605936,-0.00277345419773324,0.0270788856339259,0.0105426077743961,-0.00720141326194076,-0.00845333054370869,0.00494274112535081,-0.0101995592860015,-0.0371576366452552,0.0324542766422046,-0.0199144912196989,0.00167212944236457,0.000765882439496207,0.0135835757635954,-0.015948946588758,0.00744325932405406,0.0383670499281948,0.017742141585545,0.0251614706181934
5_reference,0.0291656519873281,0.00347934344893533,-0.0214459133499657,-0.0664772838021506,0.00776967047569414,0.0185185587219535,0.0579859768497904,0.0208796778616845,-0.0194016065473764,-0.0229176255671004,0.0111158785389816,0.0280205651719509,0.0199244018275669,-0.0294962174292421,0.000233081486668649,-0.0260983218614468,0.0112791487719271,-0.016420904595579,0.0107815755581994,-0.000986905135675901,0.0394194612068881,0.00948875397477535,-0.00121782541418565,0.0306276769639861,-0.0198697582732948,0.00910282002763388,0.0280496350549589,0.0253339646401714,-0.0336403118341001,-0.0045919362239258
6_reference,0.00496832524843437,0.0254358701724313,0.037383630500567,0.00248106833907539,0.0105368507372552,0.0121341927422138,-0.00496545693813094,0.0500162160894353,0.00632828810970285,0.0429378959912899,-0.0417406392011881,0.00522668109415139,0.0319671036262315,0.0112904756277597,-0.0337191283222986,-0.0103500276069142,0.0186037947303144,0.0206850214953985,-0.0295004245820002,0.0546571809536171,0.00403973894198308,0.0512305199023135,0.00479120921135893,-0.00180137954486116,0.0321098906372043,-0.0140042152116574,-0.0324802504589343,0.0115635553147953,0.0506576726816281,-0.0216237976035265
7_reference,0.0239690636158536,0.0198595142509492,0.029333755604255,0.019270188388568,0.0110125664843029,0.00487020072611671,0.0746585467287497,0.0211975783121409,0.0211224508198558,0.026338501603407,-0.0461286487925222,-0.0158676698363814,-0.0209097066893294,0.0147952299507412,-0.0353326235432625,0.0186173043118246,0.0146421848784449,-0.0287060184944551,-0.0150757901317923,-0.0309518595921302,0.00873021120457537,-0.0256345954031575,-0.0801942243132925,0.018393460465843,-0.00123098264351257,0.0446565254275358,-0.0458580281105063,0.0337885214831672,-0.0337486485732625,0.0535240750386515
8_reference,0.022613082943156,0.0120756069428188,0.0218113663658778,0.00968865013686905,-0.00994905530995322,0.0115591530606804,0.00326633897200093,0.00643167628542279,-0.0164897124291942,0.0157839992861,-0.00627470628498465,0.00243686712892309,0.0251436975114388,-0.00662611366510368,-0.0294575500713114,0.015457564549502,-0.00229365106999022,0.0248449920723172,-0.0284443302847669,0.0533278008190385,-0.0134009136633849,0.000486134381776432,-0.0108146580902852,0.0051062156326258,0.0245220768422388,0.000352025004270095,-0.0123367209686733,0.00473101466113705,-0.00467306081621324,-0.0201750971475708
9_reference,0.0219351079535053,0.0133663835653291,0.00169187001475818,0.0288041327167947,0.0102973749348109,0.00729913800280142,-0.00244948511334018,0.0175244755449612,0.00570788754065752,0.00397189695322338,0.0416486781809534,0.0163282073466847,0.0419553214056449,0.00769491879580785,0.00994044113050002,0.0311906028088379,0.034184445639826,0.00362404277280959,-0.00739878509994185,-0.0187232804936597,-0.0114928454164775,0.0132117661494943,-0.00235095429826918,0.000632751487728289,-0.00307886701361387,0.0263961032164452,-0.00516634749373423,0.0515407023925779,-0.0187271978561354,-0.0227194534903561
10_reference,-0.0565559983404082,0.036635893865952,-0.00574419676165247,0.0239776628495958,-0.0154233064243453,-0.00138754942555705,0.0497818918277291,-0.00360677677951389,-0.0402602788038758,-0.0273514471151069,-0.0159452836042121,0.0164092887656091,-0.0325136961081588,-0.0194183987131798,-0.00773000319881315,0.00969814495003625,0.0202064968205907,0.0199709883182772,0.00301630225398328,0.00900108609552148,0.00879598147990298,-0.00946074656523902,0.0407419124083415,-0.0347208111047083,0.0279298997005336,-0.00895326259214651,-0.0226756197578794,0.00648767259966217,-0.00186392512031172,-0.0108608938020927
11_reference,-0.0596004846302423,0.0511308710294125,0.000472477498083689,0.0199899505774448,-0.0101139203856784,-0.0145402536453293,0.0263474471795306,0.0133492389098892,-0.0394158125635646,-0.0278618885457795,0.00403420384885681,-0.00555514941317094,-0.00980688744380614,0.0108974054510768,-0.0181200954884357,0.00131959013720957,-0.000435140474849948,0.0049358156830656,0.0143422832599619,0.00302469969722616,0.0213308387535629,0.0109150881035007,0.0211464498875357,-0.0223189731521744,-0.00325514115899055,-0.00773906912926768,-0.00901154953605223,-0.00653434566225588,0.0202099152632516,0.00818309654961162
