,0,1,2,3,4,5,6,7,8,9,10,11,12
0,-3.8012292,-4.714445,-8.397702,6.244916,18.119663,7.6109524,-0.12997502,1.9734731,5.0614,-6.8578033,-8.287819,-4.879104,-5.460024
1,-2.2432094,-2.701371,-0.28089887,1.9664314,0.13831353,-1.477092,16.248613,1.8082252,-1.0782516,-1.1945093,-4.1591673,-0.60959625,-0.45292145
2,-2.3094556,-2.47942,-5.27028,2.8685584,5.2840443,10.347435,-1.2142253,0.09360732,4.904828,-4.3949804,-4.757097,-2.6460252,-3.6634266
3,-3.0054796,-2.099059,4.1865606,-1.1807845,-2.0277967,-3.342331,2.3449638,1.6610324,-2.0941582,-0.66401154,-2.1028209,3.2841177,5.46603
4,-1.9881718,-2.0716822,-4.3878818,2.3031695,4.503417,8.527035,-1.027868,0.120254934,3.9802015,-3.632376,-3.8952856,-2.1964989,-3.0347357
5,-4.8542337,-6.072315,-11.266658,8.9903755,24.724186,9.5282135,0.22839963,2.6311986,6.2499304,-9.019972,-11.267427,-6.5562024,-7.3478446
6,-2.4074433,-2.7086425,-5.1024017,4.399726,10.73731,4.3666067,-0.121910274,0.9668703,2.8513014,-4.1188107,-4.790864,-2.9981213,-3.461257
7,-3.569996,-4.5441966,-8.2582655,5.6865273,18.415356,7.54651,-0.8609582,2.2164307,4.401739,-6.4444666,-7.8162484,-4.6934977,-5.3649173
8,-4.0466647,-4.550529,-9.0427475,8.612561,17.622028,7.7076454,-0.23605597,1.6599381,5.540118,-7.4768996,-8.441462,-5.532447,-5.892639
9,-1.4569194,-1.7134762,-0.3709147,1.0657438,-0.10312423,-0.5251398,10.422216,0.9842653,-0.5750567,-0.7827271,-2.6307817,-0.42175555,-0.36919075
10,-2.1752243,-2.5652304,-0.5994543,1.8437334,-0.20893776,-0.7036581,15.539328,1.3657719,-0.64362144,-1.2329963,-4.00668,-0.83398294,-0.7602364
11,-2.2692711,-2.6999235,-4.6930847,3.135905,10.768593,4.452297,-0.48236287,0.9326831,2.3650208,-3.6480558,-4.255085,-2.7719684,-3.247398
12,-1.6609629,-1.8792665,-3.1459296,2.6944752,6.481325,2.8323464,-0.0790205,0.32152605,1.8108592,-2.558404,-2.6549585,-1.911974,-2.1999454
13,-1.4036512,-1.5152302,-3.1333876,1.6587212,3.122622,6.1645737,-0.76166904,0.041541636,2.9594402,-2.6500778,-2.806108,-1.5954795,-2.157106
14,-1.9742405,-4.2197113,-9.443699,7.9453883,20.06732,7.7255044,-1.1090811,1.5683388,4.651532,-7.0601234,-9.598324,-5.466554,-6.3407025
15,-1.7245079,-2.0847764,-0.6102016,1.0259863,-0.45933565,-0.26675344,12.603174,1.0536273,-0.1882484,-1.1296161,-3.203634,-0.67301464,-0.8201473
16,-0.70900697,-1.500313,-3.5075455,2.9525824,7.0664806,3.2316334,-0.5287992,0.4787962,1.788611,-2.6341505,-3.4774482,-2.030607,-2.4190235
17,-2.78976,-3.198101,4.7547274,-1.1887844,-2.22439,-3.1169672,0.8624881,1.1550195,-1.9956772,-1.4359711,-3.3351967,9.043421,2.1427824
18,-2.4304721,-2.7169993,-0.7754989,1.8538277,-0.6010267,-0.52410436,16.114817,1.3913922,-0.042851686,-1.4645625,-4.0199976,-1.0985522,-0.9879278
19,-1.8290783,-2.1094408,-0.6731004,2.5694778,-0.00830102,-0.8048896,12.900867,1.2147202,-0.38869,-1.3573399,-3.618055,-0.82345474,-0.68544436
20,-2.0153475,-3.2943404,-7.0727186,5.83288,15.715547,5.5145726,-0.67607075,1.3735945,3.210485,-5.248987,-7.0544767,-4.1043725,-4.5742035
21,-3.381401,-3.9906087,-7.9250226,7.495808,16.44524,6.2478027,0.4457742,1.6220092,4.3395257,-6.384761,-7.84412,-4.714174,-5.2085752
22,-0.8126349,-2.1817782,-5.5138693,4.7218895,11.746301,4.040296,-0.588392,0.8448975,2.2523732,-3.9686913,-5.5709524,-3.0820298,-3.6575675
23,-2.2912664,-2.4612632,-5.5386896,3.5116665,5.7593956,10.535394,-1.3165355,0.024572015,5.1203685,-4.6185994,-5.273264,-2.9840336,-3.794407
24,-2.8048809,-3.4336812,4.6721835,-1.048584,-2.3031864,-3.3173623,1.0195531,1.1459094,-2.086797,-1.6028615,-3.6449451,9.724673,2.281986
25,-5.341941,-1.9962791,1.0272489,-1.956271,-2.9942493,-2.94882,2.2943215,15.246473,-2.0474854,-0.9928956,-0.78822327,3.6928415,2.7872806
26,-2.7654505,-3.5000966,0.88972294,2.5862722,-0.62156975,-3.7384825,25.060318,2.4443653,-2.9258912,-0.82349384,-5.7869825,-0.620409,-0.55331624
27,-1.3752155,-1.700763,-0.65331113,1.9775978,0.19125935,-0.56331205,10.436796,0.8701688,-0.24092889,-1.2393278,-3.1221604,-0.6501682,-0.6789086
28,-1.105789,-2.5827582,-6.24609,5.625617,13.115121,4.70009,-0.7463226,0.9169797,2.741931,-4.616902,-6.3592253,-3.6195018,-4.1784835
29,-2.3758116,-2.6435943,-0.08985907,1.1712035,-0.7526288,-0.97820276,15.83181,1.4995285,-0.7200916,-0.99181736,-3.6772995,-0.70047283,-0.63278323
30,-1.7240796,-1.9748672,-0.69013107,1.4483037,-0.07670322,-0.32279193,11.731732,1.0790786,-0.013443708,-1.1517721,-3.0918574,-0.78910327,-0.7462676
31,-1.1011281,-1.4249951,-1.0914139,2.8366346,0.7715951,-0.34325927,8.193478,0.68078583,0.103459954,-1.4870187,-3.0081677,-0.7639029,-0.76582605
32,-2.3554578,-2.1955914,-3.7207222,3.355914,4.0646486,4.8500924,-0.2040993,0.48319596,5.670188,-3.6331704,-3.9585495,-2.3285313,-2.0559747
33,-2.4581919,-2.9566147,-4.7794676,2.7254267,11.177301,4.5716057,-0.54749036,0.734509,2.2958465,-3.6816244,-4.234022,-2.7119687,-3.3698993
34,-1.9604691,-2.132731,-2.9885879,1.2220321,7.636985,3.1219244,-0.24546841,0.38221702,1.3069409,-2.4058423,-2.4837818,-1.7014399,-2.2740877
35,-2.14649,-2.777163,-0.5162505,2.0199535,0.055646658,-1.4176439,17.233616,1.6021882,-0.89659095,-1.3404067,-4.5202484,-0.9857626,-0.77763265
36,-2.0636888,-2.216093,-0.41995728,1.7732368,-0.56398094,-0.75584966,13.681971,1.2843105,-0.11571932,-1.2149146,-3.3802757,-0.9942584,-0.71995777
37,-2.406081,-2.6862895,-0.3981669,1.0940241,-0.8173785,-0.6227305,15.9075165,1.3761986,-0.31710863,-1.2042924,-3.7509682,-0.75610495,-0.8551522
38,-1.6277015,-1.5937704,-3.2553506,1.2806087,3.4170718,6.4108176,-0.4127278,0.28647208,2.8230302,-2.6654515,-2.7301137,-1.4009672,-2.2257893
39,-0.75333554,-1.4550292,-3.475197,2.6732154,7.5220375,2.8040771,-0.5294225,0.5682905,1.4513803,-2.5223475,-3.3533852,-1.9525654,-2.3215182
40,-1.6297303,-2.8502748,-6.2951937,5.158642,13.897957,4.8895082,-0.685892,1.2060468,2.765899,-4.5746107,-6.2891207,-3.5962954,-4.0793295
41,-1.8385632,-2.3119054,-0.15268242,1.4209604,-0.20953149,-1.385248,14.4764385,1.4908761,-1.0711772,-0.7836528,-3.5324848,-0.56852484,-0.52445006
42,-2.6639524,-2.8820121,-6.006226,3.4582412,7.1434374,11.263693,-1.2827628,0.20120725,5.151614,-4.999509,-5.7166705,-3.0855622,-4.1550612
43,-6.337109,-2.3416684,0.9512429,-2.209693,-3.1031985,-2.9419043,1.8671719,17.654175,-2.2925425,-1.221621,-0.85652673,4.035457,3.1027427
44,-0.74833685,-1.8719116,-4.7311945,3.8922715,10.133841,3.5334206,-0.5754667,0.75340843,1.8874032,-3.39058,-4.651162,-2.6357985,-3.183811
45,-1.7680182,-1.9632528,-2.8176925,1.2677543,6.9068556,2.8933518,-0.3991175,0.3484921,1.3232214,-2.2135115,-2.3469753,-1.5840613,-2.0575848
46,-2.591198,-2.485711,-4.134918,3.809032,6.4635777,5.39448,-0.15449578,0.2817517,3.964276,-3.707367,-3.8192616,-2.6228096,-2.69205
47,-1.6102066,-1.6353381,-0.69787586,1.0891355,-0.47513312,-0.063355565,9.963372,0.9646957,0.14681137,-1.0204196,-2.5174308,-0.63581634,-0.68418324
48,-2.578366,-2.77022,-4.6443834,3.9289498,9.438633,4.2502985,-0.004066348,0.4939626,2.8176527,-3.8381705,-4.034162,-2.8893042,-3.2223637
49,-1.4918994,-1.7910168,-0.09924877,0.76481086,-0.34088993,-0.61397755,10.674726,1.0360026,-0.5810058,-0.66420436,-2.6397033,-0.20624197,-0.38866884
50,-3.680534,-3.1841116,-5.678646,6.285189,5.3246107,7.1773787,-0.09901273,0.6837523,9.479315,-5.839472,-6.244198,-4.0625634,-3.0607142
51,-2.34751,-2.7286391,-3.8539305,1.3925403,9.944142,3.9162226,-0.4541308,0.5197317,1.7203965,-2.9131122,-3.3245676,-2.1358585,-2.858712
52,-1.8370128,-1.9469784,-1.1368792,2.4923077,-0.2408314,-0.31808794,11.983922,1.1255202,0.4785545,-1.4716756,-3.4098551,-1.2525941,-0.98069096
